,precision,recall,f1-score,support
AnnualCrop,0.9735915492957746,0.9216666666666666,0.946917808219178,600.0
Forest,0.9629032258064516,0.995,0.978688524590164,600.0
HerbaceousVegetation,0.9342327150084317,0.9233333333333333,0.9287510477787091,600.0
Highway,0.9136276391554703,0.952,0.9324191968658179,500.0
Industrial,0.9759519038076152,0.974,0.974974974974975,500.0
Pasture,0.9503916449086162,0.91,0.929757343550447,400.0
PermanentCrop,0.8752293577981651,0.954,0.9129186602870814,500.0
Residential,0.9948979591836735,0.975,0.9848484848484849,600.0
River,0.9609856262833676,0.936,0.9483282674772037,500.0
SeaLake,0.9848993288590604,0.9783333333333334,0.9816053511705686,600.0
accuracy,0.9533333333333334,0.9533333333333334,0.9533333333333334,0.9533333333333334
macro avg,0.9526710950106626,0.9519333333333334,0.9519209659762629,5400.0
weighted avg,0.9543275534032944,0.9533333333333334,0.953464855034626,5400.0
